locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
6050,Southport,South East Queensland,AU,2021-07-07T03:00:00+00:00,2021-07-07T13:00:00+10:00,pm25,7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T02:00:00+00:00,2021-07-07T12:00:00+10:00,o3,0.027,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T02:00:00+00:00,2021-07-07T12:00:00+10:00,pm25,6.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T02:00:00+00:00,2021-07-07T12:00:00+10:00,pm10,13.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T01:00:00+00:00,2021-07-07T11:00:00+10:00,pm25,7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T01:00:00+00:00,2021-07-07T11:00:00+10:00,o3,0.023,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T01:00:00+00:00,2021-07-07T11:00:00+10:00,pm10,14.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T00:00:00+00:00,2021-07-07T10:00:00+10:00,o3,0.014,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T00:00:00+00:00,2021-07-07T10:00:00+10:00,pm10,14.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T00:00:00+00:00,2021-07-07T10:00:00+10:00,pm25,7.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T22:00:00+00:00,2021-07-07T08:00:00+10:00,o3,0.005,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T22:00:00+00:00,2021-07-07T08:00:00+10:00,pm25,7.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T22:00:00+00:00,2021-07-07T08:00:00+10:00,pm10,15.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T21:00:00+00:00,2021-07-07T07:00:00+10:00,pm10,15.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T21:00:00+00:00,2021-07-07T07:00:00+10:00,o3,0.002,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T21:00:00+00:00,2021-07-07T07:00:00+10:00,pm25,7.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T19:00:00+00:00,2021-07-07T05:00:00+10:00,pm10,15.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T19:00:00+00:00,2021-07-07T05:00:00+10:00,pm25,7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T19:00:00+00:00,2021-07-07T05:00:00+10:00,o3,0.008,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T17:00:00+00:00,2021-07-07T03:00:00+10:00,pm25,7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T17:00:00+00:00,2021-07-07T03:00:00+10:00,pm10,15,µg/m³,-27.9612,153.402
